G,F,W,V1,V2,V3,C
959.9216143,79.47220262,6536.261022,215.0252044,22.04311217,53.55708205,0.076020925
959.4562537,72.97412905,6362.882598,213.1566038,40.58604015,53.66062017,0.077778738
960.8722957,74.62529697,6309.373348,212.0242477,36.87956283,53.72981079,0.084015058
960.0033352,80.72774171,6334.217112,211.128757,29.59769205,53.76602552,0.096934754
959.4835553,93.05768739,6424.319483,212.8070674,85.58884575,53.7891437,0.109635271
959.0880307,105.19324,6629.212748,215.8916471,147.8566378,53.95916164,0.135607325
954.2490045,130.0593624,6934.782825,216.6444363,162.8051367,53.99146422,0.147672582
960.7384132,140.9164142,7192.467361,223.2272171,213.3911447,54.04329815,0.121538402
961.063662,116.7666112,7026.110606,225.5593342,205.7802149,54.06722033,0.089958938
960.3842764,86.45626616,6579.999184,220.5374449,141.7632283,54.00414011,0.078027422
961.2236442,74.93630896,6277.774841,214.3642611,36.7233401,53.83847076,0.11026844
963.3827094,105.9926315,6290.467397,212.3761703,115.0773985,53.78062444,0.112847261
959.2184316,108.7150999,6585.794858,217.0900477,199.2862514,54.09495519,0.107639171
958.8248849,103.249477,6496.326048,218.5931431,227.2502783,54.17394318,0.106260212
960.3421816,101.8849351,6447.124718,216.5610734,246.20918,54.20103533,0.093616314
961.7780178,89.90369515,6346.705558,217.0710279,273.8291368,54.13335384,0.091129492
959.9675939,87.6463423,6350.151578,214.8185886,227.7780497,53.96722699,0.100148706
959.7228669,96.1395121,6446.940351,213.8446195,236.6040976,53.72531922,0.108651203
959.4013615,104.275044,6548.447713,215.7724491,139.9696691,53.34450299,0.121854069
959.7371699,116.9069595,6828.27533,217.2896951,248.9272233,53.89041724,0.137833897
961.9472406,132.2843139,7247.691919,220.3239904,286.8391603,53.75634642,0.112773395
960.9350389,108.4820558,7098.975785,223.2490358,307.7836363,53.32684945,0.083362943
960.1451442,80.10637274,6486.693056,218.4981729,300.1810748,53.26680516,0.074524211
960.5482443,71.554059,6127.390215,212.1862375,253.5325142,53.34078565,0.092595839
958.7884427,88.94277064,6131.067072,210.1612552,235.0111751,53.30730435,0.093984691
961.6702287,90.1114353,6300.555181,214.4438201,270.8436777,53.24087184,0.097991049
960.4283689,94.23507453,6250.629945,213.8232167,332.8538606,53.38974337,0.113467648
959.6812937,108.9775477,6374.966982,215.2154569,346.3250768,53.69664387,0.12587248
959.1938827,120.7974649,6588.548055,218.8925165,336.6692768,53.06621303,0.133364773
959.6413087,127.9226748,6784.559028,220.3742848,332.8147576,52.98529845,0.143661216
960.0908894,137.8632378,6973.402652,222.5866126,272.0507187,53.13489813,0.122999284
960.9766312,118.0904918,6911.453854,223.4041727,240.4357362,53.22674523,0.105336315
960.1310646,101.2257372,6483.889078,220.5871322,251.5384595,53.11927015,0.09867185
960.3178743,94.73790875,6336.752841,216.1724987,231.8293471,52.83718734,0.09071034
960.0638516,87.11076056,6219.94327,215.5707043,191.4326674,52.7209148,0.095753353
960.8908659,91.92933314,6134.749878,213.4029226,169.2219429,52.56789437,0.098459953
959.704408,94.60926923,6260.737879,215.1155585,91.37717284,52.53499467,0.115095871
959.5674061,110.4580152,6333.848106,215.0623045,130.814186,52.72847139,0.139375053
959.244472,133.7397585,6806.379167,218.0253733,196.9814961,52.82987534,0.121555007
959.0331933,116.6009688,6884.787531,223.2363215,221.9841571,52.8360102,0.095855663
958.9166781,91.92876216,6437.879356,219.4660386,208.3879415,52.845428,0.108780069
949.2755025,104.3110224,6216.56402,212.2435687,178.6408391,52.7888993,0.157000739
971.5083939,149.0369554,6985.080745,219.6019572,170.6421882,52.72773348,0.139794408
961.0717437,135.8114407,7039.029586,227.4204929,219.6868526,52.87919468,0.146431697
958.3555217,140.7313659,6815.374353,223.090477,295.5873848,53.06344837,0.125379556
960.9661302,120.1581902,6769.214535,224.9997201,316.5126074,53.07671281,0.098097096
960.3067897,94.26798709,6406.142858,221.3631697,298.7419398,53.04531597,0.098370505
960.3230374,94.46586351,6112.566993,215.8140333,300.78382,53.18325078,0.087974384
960.8708705,84.48382777,6128.91952,214.8263026,256.4339417,53.42322364,0.083149697
960.2943145,79.89612183,5988.90861,213.8660586,229.7773268,53.43118476,0.085947141
958.0409043,82.53455066,6010.166822,212.506121,174.9153523,53.23896536,0.094945518
959.3865295,90.96168959,6377.231692,212.9230301,208.3405049,52.79316492,0.116099534
959.4308755,111.3843294,6464.622285,207.3392113,185.5835003,52.5429038,0.110216256
960.8105796,105.7448789,6654.209681,203.2722713,174.6775399,52.34377422,0.10025677
959.9050947,96.32776571,6439.15423,203.3999822,162.1673753,52.26574597,0.096251638
959.7944344,92.39243733,6474.86774,200.9073024,155.0406822,52.11649612,0.097530177
960.2688341,93.60892079,6345.602992,200.6854593,134.5455719,52.10866536,0.106138339
960.2318467,101.9213391,6509.245573,200.7017616,216.235397,52.14039671,0.095202037
959.1199327,91.41602754,6424.36673,202.0231025,260.9908381,52.24725928,0.116696004
958.5460789,111.925463,6356.568308,199.0498915,271.7500794,52.37164835,0.112777553
960.3884029,108.1024809,6603.765864,203.3129074,277.7025288,52.45515836,0.090789243
960.3484552,87.1929357,6382.61388,203.2320928,284.4690813,52.49213101,0.083110936
960.1772994,79.81545892,6127.836427,200.1931701,271.6044615,52.53159618,0.094450942
959.478605,90.68965069,6112.616324,198.005103,276.8143794,52.54526417,0.112284578
959.1467109,107.7346499,6379.421074,200.0640299,298.9581581,52.60924386,0.130703411
960.0426572,125.3637465,6706.914883,202.6495973,316.2548724,52.50121915,0.152932886
960.9221719,146.8220938,6947.556503,206.8665205,303.5795076,52.51735866,0.166968907
960.2439803,160.4441249,7202.969444,209.8617509,297.4330809,52.38048277,0.122293735
959.5805992,117.4318227,7082.750568,232.1940421,286.8434102,52.16457326,0.115313192
